Partlist.;;;;;
;;;;;
Part:;26.001.00.01.01_front_panel_assembly;;;;
Drawn:;bert;;;;
Date:;20170401;;;;
;;;;;
Identification;;;;;
Part no.;Amount;Description;Value;Vendor;Vendor no. / Standard
1;1;26 front panel layout;;;
2;1;26 front panel;128x50.5x1.6 mm;;
101;2;Cilinder head screw;M3x25;;ISO 1580
102;2;Spacer;5x3.5x15;;
103;2;Hexagon nut;M3;;ISO 4032
104;1;Knob;Ritel 26 21 60 1;Conrad;1416428
105;1;Cover;Ritel 30 21 11 1;Conrad;1416451
106;1;Indicator;Ritel 40 21 00 3;Conrad;1416477
